Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity
21-06-2023,North,Furniture,Supplier A,Warehouse 2,Fulfilled,159,3401,15646.92,True,23,False,12164.57,2898.7,7159
28-11-2024,South,Furniture,Supplier A,Warehouse 1,Fulfilled,760,709,6946.39,True,7,True,146570.88,439.28,6804
09-03-2024,West,Furniture,Supplier A,Warehouse 3,Fulfilled,271,2666,3084.58,True,15,False,19680.37,1896.42,7880
20-10-2022,North,Clothing,Supplier D,Warehouse 1,Fulfilled,346,1360,11392.48,True,23,False,25580.23,2005.48,8745
26-11-2023,West,Accessories,Supplier A,Warehouse 2,Canceled,795,2198,12693.33,True,5,False,112285.8,2049.24,8383
10-02-2024,West,Furniture,Supplier C,Warehouse 2,Fulfilled,735,1296,1227.68,True,22,False,19939.51,1249.32,5782
15-10-2022,North,Furniture,Supplier C,Warehouse 2,Fulfilled,421,1177,13381.98,True,29,False,65480.22,2282.11,8083
12-04-2022,West,Electronics,Supplier D,Warehouse 3,Fulfilled,1098,4089,5410.55,True,28,False,141817.49,2350.43,7395
11-06-2023,North,Clothing,Supplier D,Warehouse 3,Fulfilled,499,4778,6315.86,True,8,True,60298.82,3687.57,8500
05-11-2023,West,Accessories,Supplier D,Warehouse 1,Pending,867,3490,14771.8,True,17,False,23655.74,2958.07,8693
03-12-2023,North,Electronics,Supplier C,Warehouse 3,Fulfilled,701,4410,11790.13,True,7,False,144242.2,4126.04,6594
02-04-2024,West,Furniture,Supplier A,Warehouse 2,Fulfilled,316,700,7603.69,False,11,False,8485.1,405.74,9874
28-09-2024,North,Clothing,Supplier A,Warehouse 3,Fulfilled,285,1668,9980.68,True,1,False,12033.84,2544.98,7407
29-06-2023,East,Clothing,Supplier B,Warehouse 1,Canceled,1058,1503,11006.75,True,19,False,147987.86,1232.72,6039
18-07-2020,South,Electronics,Supplier A,Warehouse 2,Fulfilled,477,2886,6666.13,True,3,False,36854.59,4010.2,9899
16-12-2024,West,Clothing,Supplier A,Warehouse 1,Pending,176,2285,4520.34,True,24,False,6046.31,3369.72,7019
06-05-2022,East,Accessories,Supplier A,Warehouse 3,Pending,455,4556,10889.54,True,22,False,30296.29,2078.66,5993
27-03-2024,South,Clothing,Supplier C,Warehouse 1,Fulfilled,905,1012,5395.25,True,18,False,69808.74,1093.86,8915
06-01-2023,West,Clothing,Supplier A,Warehouse 3,Fulfilled,290,4027,6916.15,True,20,False,26949.3,4302.51,5416
21-10-2024,South,Electronics,Supplier D,Warehouse 2,Fulfilled,839,3186,3576.31,True,4,False,105410.02,2877.49,8317
21-05-2023,West,Furniture,Supplier A,Warehouse 2,Fulfilled,566,585,9175.4,True,11,True,34040.1,2087.92,7501
06-11-2024,North,Accessories,Supplier D,Warehouse 2,Fulfilled,1146,4177,14279.16,True,6,False,45212.59,3241.28,7880
17-01-2023,West,Clothing,Supplier B,Warehouse 2,Canceled,421,2302,6804.11,True,24,False,66928.89,3364.22,5099
01-04-2023,West,Electronics,Supplier C,Warehouse 1,Pending,665,5019,9000.23,False,7,False,121548.38,2684.39,6474
14-09-2024,East,Accessories,Supplier B,Warehouse 1,Fulfilled,654,1885,9674.83,True,15,False,91403.45,2287.5,7006
02-06-2024,West,Clothing,Supplier D,Warehouse 2,Fulfilled,313,3459,14458.71,True,9,False,68099.83,3086.87,5359
05-10-2024,North,Furniture,Supplier A,Warehouse 2,Fulfilled,1187,4753,7506.27,True,27,False,30363.94,2566.26,9053
07-07-2023,East,Accessories,Supplier B,Warehouse 1,Fulfilled,503,4478,5238.87,True,18,False,56502.33,3745.94,8386
08-07-2024,North,Electronics,Supplier B,Warehouse 1,Fulfilled,516,236,2064.16,True,20,False,108206.11,1744.18,8241
09-02-2024,West,Accessories,Supplier A,Warehouse 1,Fulfilled,686,1351,9474.3,True,5,False,111821.2,1989.7,6420
29-05-2023,North,Accessories,Supplier B,Warehouse 2,Pending,333,1830,9935.07,False,27,False,41220.63,1442.58,7851
26-03-2022,North,Electronics,Supplier D,Warehouse 3,Fulfilled,434,1911,15663.98,True,23,False,14998.33,1119.8,8781
21-07-2024,West,Electronics,Supplier A,Warehouse 3,Fulfilled,633,1953,1266.75,True,3,False,133591.24,3335.63,8647
26-07-2024,North,Electronics,Supplier C,Warehouse 2,Fulfilled,397,4502,14245.48,True,28,False,7577.84,4063.05,8978
16-08-2023,South,Furniture,Supplier B,Warehouse 2,Canceled,132,5294,14373.54,True,17,False,22139.87,3316.33,7477
05-05-2024,West,Clothing,Supplier B,Warehouse 1,Fulfilled,299,787,1164.37,True,21,False,60562.15,2394.84,5729
05-07-2024,West,Accessories,Supplier C,Warehouse 3,Fulfilled,221,2056,11913.85,True,0,False,49931.21,1848.33,9833
01-08-2022,East,Electronics,Supplier A,Warehouse 3,Fulfilled,906,725,7881.49,True,27,False,66481.21,2287.46,7310
31-05-2024,West,Accessories,Supplier C,Warehouse 3,Fulfilled,719,4346,5443.62,False,6,False,130388.86,3536.94,6387
20-06-2024,West,Electronics,Supplier D,Warehouse 3,Fulfilled,632,3354,960.24,False,26,False,137771.4,3937.42,6220
05-03-2023,North,Furniture,Supplier B,Warehouse 1,Pending,578,3684,7285.24,True,16,True,121867.01,2958.18,5936
03-12-2022,North,Electronics,Supplier D,Warehouse 1,Fulfilled,593,4836,618.24,True,25,False,92684.12,2604.87,9906
28-09-2024,North,Clothing,Supplier A,Warehouse 3,Fulfilled,263,1567,9256.78,True,2,False,13278.77,2900.48,7407
05-03-2023,North,Furniture,Supplier B,Warehouse 1,Pending,621,3280,7552.19,True,14,True,115293.05,2863.83,5936
06-09-2023,North,Clothing,Supplier C,Warehouse 2,Fulfilled,723,1769,7913.35,True,26,False,93139.14,1509.72,8916
06-04-2023,South,Clothing,Supplier D,Warehouse 2,Pending,83,4651,7250.17,True,18,False,7066.6,4084.66,7180
16-05-2024,North,Clothing,Supplier B,Warehouse 1,Fulfilled,378,3783,15794.34,True,24,False,61156.66,2149.14,9666
08-01-2022,West,Electronics,Supplier C,Warehouse 1,Canceled,432,1443,9660.81,True,27,False,18944.89,2563.11,5659
15-11-2020,East,Furniture,Supplier D,Warehouse 2,Fulfilled,780,1790,14126.83,True,9,False,60763.08,1102.02,9216
12-07-2024,West,Furniture,Supplier C,Warehouse 3,Fulfilled,183,245,14201.37,True,21,False,28084.25,1680.35,6561
25-04-2022,West,Accessories,Supplier A,Warehouse 3,Fulfilled,543,4210,7957.2,True,26,False,109697.52,3397.47,7470
12-12-2023,East,Accessories,Supplier B,Warehouse 1,Canceled,231,2900,4570.65,True,24,False,18591.94,3031.32,5656
07-10-2022,North,Accessories,Supplier D,Warehouse 2,Pending,620,469,1691.43,True,4,False,33793.75,370.42,6340
16-02-2023,West,Clothing,Supplier A,Warehouse 3,Fulfilled,783,4562,1097.75,True,14,False,29201.93,2946.28,7842
04-05-2023,East,Clothing,Supplier D,Warehouse 2,Fulfilled,382,668,12578.38,False,17,False,43517.47,1274.72,8473
15-04-2024,North,Clothing,Supplier D,Warehouse 1,Canceled,686,2094,2102.13,True,2,False,92734.08,3127.32,8290
22-05-2022,West,Electronics,Supplier C,Warehouse 1,Fulfilled,998,2051,6369.0,True,20,True,54351.33,1633.75,8292
31-12-2023,East,Furniture,Supplier A,Warehouse 2,Pending,1035,148,11451.21,True,9,False,67613.5,2101.87,7420
08-04-2022,West,Accessories,Supplier A,Warehouse 2,Pending,461,3793,3604.25,True,26,False,12744.06,3206.73,8556
18-01-2022,North,Clothing,Supplier C,Warehouse 3,Canceled,881,743,5369.13,True,5,False,60656.25,1566.97,8675
23-10-2022,East,Electronics,Supplier D,Warehouse 2,Fulfilled,547,1741,7054.23,True,30,False,51864.41,1635.84,5162
09-03-2024,West,Furniture,Supplier A,Warehouse 3,Fulfilled,249,2570,3092.5,True,17,False,22843.07,2035.73,7880
08-07-2022,South,Furniture,Supplier B,Warehouse 3,Canceled,401,4572,1964.99,True,1,False,22892.15,2533.85,5251
24-06-2022,North,Accessories,Supplier D,Warehouse 1,Fulfilled,94,4154,2797.51,False,22,False,9783.38,2220.8,5766
13-11-2023,East,Furniture,Supplier B,Warehouse 3,Canceled,63,1432,1670.8,True,8,True,10574.7,1981.15,5731
03-04-2022,North,Furniture,Supplier D,Warehouse 1,Fulfilled,1092,2311,12290.62,False,25,False,108302.73,2905.55,9025
07-08-2023,West,Electronics,Supplier C,Warehouse 3,Fulfilled,272,2158,9664.64,True,11,False,39966.48,1514.11,6514
24-03-2024,East,Electronics,Supplier A,Warehouse 1,Fulfilled,128,2588,5367.87,True,23,False,13722.02,4097.07,7074
08-02-2022,West,Furniture,Supplier A,Warehouse 1,Fulfilled,539,380,13517.29,True,2,False,68734.2,1823.34,7533
14-08-2024,West,Clothing,Supplier B,Warehouse 1,Fulfilled,401,3062,14048.08,True,15,False,58321.16,4370.76,5350
22-02-2023,East,Accessories,Supplier B,Warehouse 2,Pending,125,3639,12757.82,True,3,False,16430.81,2864.27,8808
23-03-2022,East,Furniture,Supplier D,Warehouse 3,Fulfilled,211,200,8235.81,True,6,False,42546.37,1284.17,8552
25-12-2022,West,Furniture,Supplier D,Warehouse 1,Pending,370,371,10894.37,True,8,False,38406.92,1064.52,8624
24-06-2024,East,Accessories,Supplier A,Warehouse 3,Fulfilled,706,5062,3913.51,True,16,False,63180.24,3761.59,7655
12-03-2024,West,Electronics,Supplier B,Warehouse 2,Pending,182,2729,8201.22,True,12,False,18218.27,3780.68,9911
03-09-2023,South,Electronics,Supplier C,Warehouse 3,Fulfilled,545,4252,5282.12,True,23,False,63870.43,3217.85,7356
25-10-2022,East,Electronics,Supplier A,Warehouse 1,Pending,385,3202,9994.83,True,3,False,50975.48,3767.21,8230
11-02-2022,East,Clothing,Supplier D,Warehouse 1,Fulfilled,372,1101,12013.6,True,16,False,27688.02,1842.67,5405
29-01-2023,West,Clothing,Supplier A,Warehouse 1,Pending,754,1332,901.82,True,13,False,84924.95,1476.42,7343
03-12-2023,North,Electronics,Supplier C,Warehouse 3,Fulfilled,964,4657,10281.02,True,5,False,147999.13,4307.92,6594
12-12-2024,South,Clothing,Supplier C,Warehouse 3,Fulfilled,307,3778,4505.76,True,14,False,20033.47,3143.29,5813
29-09-2023,West,Clothing,Supplier D,Warehouse 2,Fulfilled,584,1716,3145.05,True,27,False,129101.02,1102.8,8467
11-10-2024,North,Clothing,Supplier D,Warehouse 1,Fulfilled,726,969,6882.29,True,22,False,70708.71,1616.91,5641
21-08-2022,South,Furniture,Supplier A,Warehouse 3,Pending,413,310,2539.88,True,23,False,34094.86,244.33,9044
25-11-2023,West,Clothing,Supplier C,Warehouse 1,Fulfilled,786,1648,3959.69,True,21,False,32678.1,2317.75,5856
13-07-2024,South,Furniture,Supplier A,Warehouse 1,Pending,1062,1071,10500.01,True,27,False,128292.87,658.5,8236
28-12-2024,East,Furniture,Supplier D,Warehouse 1,Canceled,102,3052,516.75,True,18,False,10263.5,3305.78,5239
15-02-2022,North,Electronics,Supplier D,Warehouse 2,Fulfilled,419,770,15199.03,True,15,True,33502.34,1860.8,7417
07-06-2022,North,Accessories,Supplier B,Warehouse 2,Fulfilled,251,1125,3465.18,True,23,False,20420.28,2305.24,6862
08-02-2022,West,Furniture,Supplier A,Warehouse 1,Fulfilled,551,367,13089.88,True,3,False,64602.66,1841.11,7533
29-08-2022,East,Furniture,Supplier D,Warehouse 3,Fulfilled,157,2787,10546.3,True,18,False,8663.72,2330.31,8323
30-07-2024,North,Clothing,Supplier D,Warehouse 1,Fulfilled,765,5215,7247.49,True,28,False,74281.84,2790.39,7179
03-07-2023,East,Accessories,Supplier B,Warehouse 3,Fulfilled,201,2304,11405.81,True,28,True,54810.0,3615.08,5846
16-11-2023,South,Electronics,Supplier B,Warehouse 3,Pending,432,2542,4357.25,True,22,False,54034.37,1943.64,5942
15-11-2020,East,Furniture,Supplier D,Warehouse 2,Fulfilled,789,1946,12945.02,True,12,False,50665.18,1113.86,9216
31-10-2023,South,Furniture,Supplier A,Warehouse 1,Pending,513,4644,6821.04,True,17,False,51330.18,3810.0,8174
29-05-2022,North,Electronics,Supplier B,Warehouse 1,Fulfilled,545,4374,4740.89,True,5,False,92097.12,4049.91,6263
14-12-2022,East,Clothing,Supplier A,Warehouse 3,Fulfilled,260,2647,6577.21,True,27,False,35743.51,1989.19,5002
20-05-2023,North,Clothing,Supplier C,Warehouse 3,Pending,577,3245,7891.21,True,14,False,63177.61,4169.45,6197
17-01-2023,West,Clothing,Supplier B,Warehouse 2,Canceled,481,2278,6952.89,True,24,False,78818.56,2981.94,5099
05-07-2023,North,Accessories,Supplier B,Warehouse 2,Fulfilled,48,2597,1726.43,True,8,False,9088.18,3273.28,5346
22-04-2020,East,Clothing,Supplier C,Warehouse 3,Fulfilled,847,3420,5581.08,True,9,False,63293.15,3684.66,8375
19-03-2023,West,Furniture,Supplier D,Warehouse 1,Fulfilled,387,1183,2696.47,True,6,False,57263.64,1471.44,8112
20-01-2024,North,Clothing,Supplier B,Warehouse 2,Fulfilled,386,3825,15268.34,True,3,False,85334.29,2220.07,8231
13-04-2022,South,Clothing,Supplier B,Warehouse 2,Fulfilled,258,192,13020.8,True,14,False,10099.62,1797.83,6542
15-02-2023,West,Accessories,Supplier A,Warehouse 1,Pending,591,1390,7260.89,True,11,False,51250.89,2119.7,6468
